;;;;;;;;;;;;;;;;;;;;;;;;;;Categorias;;;;;;;;;;;
Controle de Estoque Prima Facie;;;;;;;;;;;;;;;;;;;;;;;;;;Anéis;;;;;;;;;;;
Dados do Produto;;;;;;;;;;Simulação (Projeção);;;;;;;;;;;;;;;;Brincos;;;;;;;;;;;
SKU;Categoria;Material 1;Quantidade 1; Custo M1 ; Venda M1 ;Material 2;Quantidade 2; Custo M2 ; Venda M2 ; Mão de Obra ; Custo Total ;Margem; Preço Venda ; Preço c/ desconto ;;;;;;;;;;;;Pingente;;;;;;;;;;;
32;Anéis;Prata Artesanal;6; R$ 48,00 ; R$ 144,00 ;Ametista B;12; R$ 67,20 ; R$ 228,48 ; R$ 120,00 ; R$ 235,20 ;-11,00%; R$ 492,48 ; R$ 546,65 ;;;;;;;;;;;;;;;;;;;;;;;
33;Anéis;Prata Artesanal;9; R$ 72,00 ; R$ 216,00 ;Ametista B;8; R$ 44,80 ; R$ 152,32 ; R$ 120,00 ; R$ 236,80 ;-18,00%; R$ 488,32 ; R$ 576,22 ;;;;;;;;;;;;;;;;;;;;;;;
34;Anéis;Prata Artesanal;8; R$ 64,00 ; R$ 192,00 ;Ametista B;5; R$ 28,00 ; R$ 95,20 ; R$ 250,00 ; R$ 342,00 ;-56,00%; R$ 537,20 ; R$ 838,03 ;;;;;;;;;;;;;;;;;;;;;;;
35;Anéis;Prata Artesanal;10; R$ 80,00 ; R$ 240,00 ;Ametista B;12; R$ 67,20 ; R$ 228,48 ; R$ 140,00 ; R$ 287,20 ;-24,00%; R$ 608,48 ; R$ 754,52 ;;;;;;;;;;;;;;;;;;;;;;;
36;Anéis;Prata Artesanal;12,5; R$ 100,00 ; R$ 300,00 ;Aqua Marinha C;5; R$ 840,00 ; R$ 1.428,00 ; R$ 90,00 ; R$ 1.030,00 ;35,00%; R$ 1.818,00 ; R$ 1.181,70 ;;;;;;;;;;;;;;;;;;;;;;;
37;Anéis;Prata Artesanal;8; R$ 64,00 ; R$ 192,00 ;Aqua Marinha D;15; R$ 840,00 ; R$ 1.680,00 ; R$ 120,00 ; R$ 1.024,00 ;40,00%; R$ 1.992,00 ; R$ 1.195,20 ;;;;;;;;;;;;;;;;;;;;;;;
38;Anéis;Prata Artesanal;7; R$ 56,00 ; R$ 168,00 ;Aqua Marinha D;18; R$ 1.008,00 ; R$ 2.016,00 ; R$ 120,00 ; R$ 1.184,00 ;65,00%; R$ 2.304,00 ; R$ 806,40 ;;;;;;;;;;;;;;;;;;;;;;;
39;Anéis;Prata Artesanal;7; R$ 56,00 ; R$ 168,00 ;Aqua Marinha D;12; R$ 672,00 ; R$ 1.344,00 ; R$ 120,00 ; R$ 848,00 ;45,00%; R$ 1.632,00 ; R$ 897,60 ;;;;;;;;;;;;;;;;;;;;;;;
40;Anéis;Prata Artesanal;15; R$ 120,00 ; R$ 360,00 ;Ametista B;25; R$ 140,00 ; R$ 476,00 ; R$ 120,00 ; R$ 380,00 ;-28,00%; R$ 956,00 ; R$ 1.223,68 ;;;;;;;;;;;;;;;;;;;;;;;
41;Anéis;Prata Artesanal;8; R$ 64,00 ; R$ 192,00 ;Ametista B;7; R$ 39,20 ; R$ 133,28 ; R$ 120,00 ; R$ 223,20 ;-35,00%; R$ 445,28 ; R$ 601,13 ;;;;;;;;;;;;;;;;;;;;;;;
