;;;;;;;;;;;;;;;;;;;;;;;;;;Categorias;;;;;;;;;;;
Controle de Estoque Prima Facie;;;;;;;;;;;;;;;;;;;;;;;;;;Anéis;;;;;;;;;;;
Dados do Produto;;;;;;;;;;Simulação (Projeção);;;;;;;;;;;;;;;;Brincos;;;;;;;;;;;
SKU;Categoria;Material 1;Quantidade 1; Custo M1 ; Venda M1 ;Material 2;Quantidade 2; Custo M2 ; Venda M2 ; Mão de Obra ; Custo Total ;Margem; Preço Venda ; Preço c/ desconto ;;;;;;;;;;;;Pingente;;;;;;;;;;;
2205;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2206;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2207;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2208;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2209;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2210;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2211;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2212;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2213;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2214;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2215;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2216;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2217;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2218;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2219;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2220;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2221;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2222;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2223;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2224;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2225;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2226;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2227;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2228;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2229;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2230;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2231;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2232;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2233;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2234;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2235;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2236;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2237;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2238;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2239;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2240;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2241;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2242;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2243;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2244;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2245;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2246;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2247;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2248;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2249;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2250;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2251;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2252;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2253;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2254;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2255;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2256;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2257;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2258;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2259;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2260;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2261;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2262;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2263;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2264;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2265;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2266;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2267;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2268;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2269;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2270;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2271;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2272;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2273;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2274;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2275;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2276;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2277;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2278;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2279;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2280;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2281;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2282;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2283;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2284;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2285;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2286;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2287;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2288;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2289;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2290;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2291;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2292;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2293;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2294;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2295;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2296;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2297;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2298;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2299;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2300;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2301;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2302;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2303;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2304;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2305;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2306;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2307;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2308;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2309;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2310;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2311;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2312;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2313;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2314;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2315;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2316;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2317;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2318;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2319;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2320;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2321;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2322;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2323;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2324;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2325;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2326;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2327;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2328;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2329;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2330;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2331;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2332;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2333;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2334;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2335;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2336;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2337;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2338;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2339;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2340;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2341;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2342;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2343;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2344;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2345;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2346;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2347;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2348;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2349;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2350;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2351;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2352;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2353;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2354;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2355;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2356;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2357;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2358;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2359;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2360;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2361;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2362;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2363;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2364;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2365;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2366;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2367;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2368;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2369;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2370;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2371;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2372;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2373;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2374;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2375;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2376;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2377;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2378;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2379;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2380;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2381;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2382;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2383;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2384;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2385;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2386;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2387;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2388;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2389;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2390;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2391;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2392;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2393;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2394;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2395;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2396;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2397;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2398;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2399;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2400;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2401;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2402;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2403;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2404;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
2405;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
